,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20130331,20120331,20111231,20110630,20110331,20100930,20100331,20090331,20080331,20070331,20060331,20040331,20030331,20020331,20000331,19000101
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
1,"I.현금및예치금(주석4,5,6,7,28)",1716507748155.0,1874997330395.0,1797612753570.0,1815364888298.0,1591493613832.0,2101061548437.0,1417947067605.0,1371034730383.0,1249750102889.0,1766871731885.0,1348116173774.0,1461659516948.0,1211953283632.0,1485368257328.0,1267086142840.0,1389268121520.0,1518851633530.0,1723679925834.0,1731848539129.0,1601889695296.0,1334948416803.0,1980684081967.0,1450558650788.0,1192286832907.0,1233512037497.0,1501294562260.0,1605241976489.0,1233512037497.0,1009976996485.0,409382097521.0,702651406192.0,617954247516.0,358452103438.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,953896047489.0
2,II.금융자산,69804321517192.0,69886803342176.0,69590027814319.0,68054925537509.0,66660094160380.0,64967640343699.0,63873401201402.0,62457702127681.0,61782943744750.0,62781965601350.0,60992998199763.0,59952507907169.0,57791097245379.0,56341246387959.0,56274597920614.0,54660764997334.0,52330939488852.0,51133675069842.0,50058818051308.0,48542238729379.0,48451236794450.0,47314363099678.0,39673492636302.0,37019170833336.0,30704148379511.0,29103768036969.0,31674579893365.0,30704148379511.0,28078333458168.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,48144958889998.0
3,"1.당기손익인식금융자산(주석4,5,8)",1534028208208.0,1142858115731.0,1569811144944.0,1318050875317.0,1082384894196.0,378154514990.0,836214164461.0,744003065596.0,854561109033.0,957774716114.0,1066426477560.0,1180190185282.0,971895617679.0,1039428054987.0,1246146529606.0,1287162228220.0,897730591938.0,961497213642.0,966016554642.0,1239710395392.0,1038210452985.0,961975667381.0,963476690779.0,1045467270818.0,1177279978364.0,941935454275.0,910855337606.0,1177279978364.0,1252403853936.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1510691223176.0
4,"2.매도가능금융자산(주석4,5,7,9,28)",43392103606504.0,43664733382889.0,43555968767637.0,42504068155028.0,41351895222780.0,40463580194322.0,39280740713326.0,38308146224907.0,38104672931323.0,39120421103675.0,39157941445460.0,38557308658816.0,37001897346153.0,36492929259669.0,37437389566310.0,36937120655565.0,35340485325045.0,34584418610762.0,34161483579885.0,32913188807228.0,33161563464266.0,31762851630425.0,27229219584046.0,25821148315084.0,20015978107397.0,18809172477093.0,21184181362590.0,20015978107397.0,17884103129042.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,32074066088440.0
5,"3.만기보유금융자산(주석4,5,10)",165744297277.0,175160401722.0,164863337723.0,164030733262.0,167577245135.0,166713304759.0,161171382224.0,191320812699.0,176285001995.0,169078747058.0,170680485689.0,180400069406.0,184900495545.0,187790117036.0,184525489196.0,183111095762.0,182609479424.0,182491152436.0,203118786738.0,201494193931.0,200418103415.0,200836812124.0,209757675844.0,152995249797.0,110097846731.0,110102935461.0,123904280106.0,110097846731.0,110106195317.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,223693171588.0
6,"4.대출채권(주석4,5,11,13,43)",23354162462817.0,23654786721077.0,23026823079612.0,22744818418745.0,22755421640472.0,22679993520607.0,22423352990964.0,22029039700010.0,21338446961830.0,21352513746933.0,19421532366860.0,18952898984699.0,18626959675387.0,17673163713252.0,16492550571652.0,15231785929765.0,14815743718657.0,14337847063475.0,13557212574148.0,13124001177327.0,12798005050312.0,13205074598643.0,10128254305042.0,8852078171372.0,8389658818393.0,8252383011156.0,8414897610081.0,8389658818393.0,7841381285006.0,5610366442332.0,4720338273806.0,4120042273142.0,3587795637566.0,3107745349060.0,2828376133060.0,2949817489162.0,2385915440674.0,1286761734388.0,12610387177242.0
7,"5.기타수취채권(주석4,5,12,13,28,43)",1358282942386.0,1249264720757.0,1272561484403.0,1323957355157.0,1302815157797.0,1279198809021.0,1171921950427.0,1185192324469.0,1308977740569.0,1182177287570.0,1176417424194.0,1081710008966.0,1005444110615.0,947935243015.0,913985763850.0,1021585088022.0,1094370373788.0,1067421029527.0,1170986555895.0,1063844155501.0,1253039723472.0,1183624391105.0,1142784380591.0,1147481826265.0,1011133628626.0,990174158984.0,1040741302982.0,1011133628626.0,990338994867.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1726121229552.0
8,"III.관계기업투자(주석14,43)",210270610624.0,212488563539.0,30780371183.0,29693483562.0,29083606025.0,32238046291.0,30711891578.0,30286191978.0,30067532545.0,33136040173.0,31319454567.0,5606572508.0,5606572508.0,7405687164.0,6062801898.0,6062801898.0,7446655298.0,7446655298.0,6088129589.0,9738415579.0,9738415579.0,9738415579.0,8378286533.0,7225451780.0,6421433759.0,5780467651.0,6421433759.0,6421433759.0,5930579427.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,17858496971.0
9,"IV.파생상품자산(주석4,5,15)",44194286001.0,55287587690.0,26797275021.0,34471791757.0,56922523200.0,94608997717.0,98325190716.0,85091839484.0,175151072127.0,152361390606.0,25183154253.0,33251744886.0,75573392337.0,8932454789.0,109957403076.0,20726746784.0,36994810767.0,38768217738.0,19886266869.0,55408775087.0,73944168276.0,93655611424.0,246379642656.0,168082374908.0,118716102553.0,115629467153.0,97553956620.0,118716102553.0,118343090102.0,80825036596.0,22019607765.0,9939202363.0,21354243032.0,22434863832.0,25914335563.0,26003172266.0,,19305000000.0,214461153845.0
10,"V.재보험자산(주석16,42)",858977137383.0,787318933309.0,858939042560.0,843396336252.0,803331200966.0,793975397285.0,965834416041.0,924878455286.0,1081669872527.0,1107599412026.0,1232549958514.0,1184136791487.0,1175953062313.0,1130439197117.0,1055053771867.0,1157320132859.0,1270811701922.0,1345183696892.0,1561682605894.0,1580982924712.0,1144040057206.0,1324062263255.0,1244412076915.0,980869273623.0,957815444357.0,926488667446.0,1058133556316.0,957815444357.0,879140868055.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1552281634139.0
11,"VI.투자부동산(주석17,18)",776684742986.0,796190142502.0,841811509161.0,843531121908.0,753958408211.0,705840362270.0,798357227170.0,804193737696.0,806568295290.0,801135423753.0,725638998692.0,753066957364.0,779387466762.0,882624193000.0,1044509210098.0,1077647064500.0,1127937097004.0,1098978804028.0,1109220903546.0,1106616581112.0,1098671659576.0,1098102402600.0,1045650539551.0,1079269827152.0,1089719369464.0,1097639589116.0,1088786475345.0,1089719369464.0,535686586980.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1227259151392.0
12,"VII.유형자산(주석7,18,19,39)",691391621132.0,703611262858.0,707507297877.0,734091854924.0,759210804215.0,623934807941.0,578600891460.0,580748674068.0,592138027096.0,613215858977.0,685952639204.0,671662790975.0,697324065315.0,753906309814.0,893323854991.0,910142939405.0,888104499279.0,930266932792.0,909397598861.0,914329051891.0,918047511906.0,923760479789.0,920243999383.0,877313848255.0,840080768147.0,821501572208.0,846895325874.0,840080768147.0,783283026455.0,1142522458354.0,1143429766313.0,1094392907465.0,1027889678227.0,990343891996.0,924072658501.0,909666312399.0,861347492639.0,828132165869.0,1463880297618.0
13,VIII.무형자산(주석20),416429116120.0,441887605860.0,470454398203.0,496419541563.0,485515305716.0,503626385040.0,522001046995.0,518789392471.0,544841660055.0,574527403477.0,148608065670.0,159533519691.0,170540257200.0,140704668339.0,146500705600.0,154668437046.0,157697829312.0,163547215614.0,169663738525.0,173382218746.0,177245457411.0,172382325924.0,170357541089.0,168399131626.0,147520957123.0,142257773193.0,161645444564.0,147520957123.0,123784980769.0,74677320325.0,82494791856.0,78441029593.0,80154962901.0,53885695803.0,51902330048.0,29908217192.0,16680840182.0,3421744249.0,249304620876.0
14,IX.매각예정비유동자산(주석21),14500000000.0,7771908212.0,,,8290459181.0,14244884410.0,,,,,8343444466.0,38617276988.0,154315403518.0,172215830972.0,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
15,X.순확정급여자산(주석25),,11846889066.0,9614130525.0,18061024872.0,11358340842.0,23811129911.0,35541374963.0,45508419859.0,51267443831.0,50549400015.0,23150957024.0,30922031709.0,24114452758.0,35429182108.0,6159783937.0,19000681693.0,,,,,13416658791.0,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
16,XI.당기법인세자산(주석40),572804239.0,3306187828.0,953545475.0,637246890.0,1151657235.0,1049887572.0,819241836.0,528320162.0,273194289.0,208930122.0,,,,87999774.0,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
17,XII.이연법인세자산(주석40),29152306989.0,25258358356.0,29168600955.0,28065086581.0,28105497887.0,26983138123.0,27090336908.0,27579748576.0,27187531716.0,26460345656.0,5371913318.0,7384908648.0,7319111372.0,6216658003.0,6589364503.0,6169188219.0,6382772058.0,4913811187.0,3153234592.0,2362782155.0,3200139058.0,3473913472.0,5369435312.0,4590502441.0,2929324030.0,2450519426.0,4290497981.0,2929324030.0,1298620443.0,44082568.0,246845267.0,119819644.0,37083240.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1527101188.0
18,XIII.기타자산(주석22),2322740452070.0,2276485565510.0,2327412172984.0,2316993228430.0,2339971573907.0,2356147037113.0,2398583998995.0,2423911238030.0,2480500108251.0,2478146117857.0,2717333207625.0,2712221829507.0,2702809444388.0,2728628765893.0,2741735282924.0,2773955799766.0,2759713350068.0,2736397842295.0,2850666615242.0,2825448789941.0,2756591838952.0,2698123766233.0,2684305379400.0,2624251432508.0,2339001914018.0,2247881055808.0,2416401517815.0,2339001914018.0,2200366473504.0,2794518623740.0,2276967033067.0,2072669203113.0,1884898109035.0,2297206769962.0,1406810595202.0,1155375253142.0,973249344483.0,705242008527.0,3780210708552.0
19,XIV.특별계정자산(주석44),8647018293446.0,8088918416271.0,8562686693027.0,8157436628533.0,7759413248518.0,7145492403140.0,7770242638950.0,7679015015674.0,7656598532949.0,5629010805834.0,5087361814120.0,4794482619432.0,4684854974194.0,4524298934738.0,4497485987179.0,4522514178304.0,4426964285629.0,4050737530911.0,4011468090344.0,3977245638677.0,4052905418731.0,2565210754481.0,1992836004976.0,2027136027459.0,1700885674134.0,1422214215698.0,1708425095857.0,1700885674134.0,1460911605569.0,1118578754837.0,1047357523128.0,990397150834.0,876631772874.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,2504111237636.0
20,자산총계,85532760636337.0,85172172093572.0,85253765604860.0,83373087771079.0,81287900400115.0,79390654368949.0,78517456524619.0,76949267891348.0,76478957118315.0,76015188461731.0,73031927980990.0,71805054467312.0,69480848731676.0,68217504526998.0,68049062229527.0,66698241089328.0,64531844123719.0,63233595702431.0,62431893773899.0,60789643602575.0,60033986536739.0,58183557114402.0,49441984192905.0,46148595535995.0,39140751404593.0,37386905926928.0,40668375173985.0,39140751404593.0,35197056285957.0,26712048208981.0,23143394211306.0,20770905244616.0,18512183421242.0,16392852626699.0,12791419123420.0,11106549523396.0,9884390228925.0,7306157627854.0,60109749339704.0
21,부채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
22,"I.보험계약부채(주석4,23)",58422424545539.0,58044829550606.0,57710728454560.0,57001650944786.0,56189713671517.0,55614481024597.0,55236266802758.0,54401713734364.0,53706682364025.0,53099885728522.0,52378836957673.0,51455839347595.0,50427863603258.0,49608899817755.0,48472227803003.0,47710978019535.0,46761846560457.0,45967941323512.0,45191139352703.0,44128965828374.0,42642361847856.0,41761950742344.0,36985394303401.0,32512742949546.0,27294057051186.0,26085605272761.0,28721049098031.0,27294057051186.0,24905698491670.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,41600903822789.0
23,"II.금융부채(주석4,5,24,28,43)",1617641120549.0,1187408197737.0,1045189625823.0,1112587944215.0,1469371112932.0,740043201670.0,737470748385.0,738588481080.0,1202092311087.0,757381780426.0,553105672095.0,507255058701.0,594859456165.0,370434105758.0,399042231038.0,485288981820.0,484503058875.0,575784603240.0,502879797133.0,644024089644.0,545906418235.0,661223461776.0,588753347971.0,597092143039.0,697878965086.0,626068770186.0,608332656205.0,697878965086.0,524864948083.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1035138428314.0
24,"III.파생상품부채(주석4,5,15)",241819012989.0,118779599840.0,198320576220.0,120873104407.0,65556343412.0,38615424775.0,34939698978.0,49765167994.0,9516887423.0,9791754522.0,63883582825.0,54454080673.0,21859516415.0,186908988923.0,35191712553.0,140469894386.0,144104894765.0,207191555976.0,272000775506.0,143577047430.0,112064898100.0,105548806670.0,61859976190.0,100996313969.0,139274949198.0,151667053370.0,170650657273.0,139274949198.0,170635559489.0,122887423756.0,280589825594.0,61109414934.0,6725053139.0,48098515.0,2545261703.0,12366727509.0,,19305000000.0,230355577938.0
25,IV.충당부채(주석27),62601572465.0,66366683360.0,65767715422.0,61133862880.0,57382422798.0,57044811890.0,58266002595.0,54749334251.0,44479062469.0,56734789319.0,51915441027.0,59101972477.0,67811896516.0,78036618035.0,74379972632.0,71995916330.0,67735612742.0,74136049630.0,66670470896.0,62109132578.0,57099639625.0,60366205109.0,51401733888.0,50480888653.0,41564290239.0,42758012060.0,41794476814.0,41564290239.0,37202485335.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,63956707133.0
26,V.당기법인세부채(주석40),38796574804.0,1315503797.0,60780662651.0,70294204936.0,124047545758.0,89185162004.0,89945178202.0,148214265664.0,78819788270.0,29534345939.0,52318374841.0,161433064655.0,122269140078.0,131372518492.0,58946453175.0,56143710053.0,43939833845.0,64645452404.0,134810993103.0,80351371643.0,62955765538.0,119998442989.0,38386378818.0,81493731273.0,41719284389.0,64402401175.0,104435609433.0,41719284389.0,89738687304.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,106686860182.0
27,VI.이연법인세부채(주석40),2523653053974.0,2673919060178.0,2768399233229.0,2567409197293.0,2295166878970.0,2005103676371.0,1983863437071.0,1807916287201.0,1893295903987.0,2015074709102.0,1917441850786.0,1841815511924.0,1661493670500.0,1594781417548.0,2059344486432.0,1948752186973.0,1717519623773.0,1535531982820.0,1546211735475.0,1470836350296.0,1694503712862.0,1437143892935.0,1098860499051.0,1460038819682.0,1141255799617.0,1000680138179.0,1111725515711.0,1141255799617.0,786913554045.0,518762541876.0,285086133768.0,402956354938.0,375820139158.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1585000598026.0
28,VII.기타부채(주석26),353800719226.0,432097371764.0,407076638570.0,400272411589.0,373671531427.0,541775852233.0,435004321883.0,440543941244.0,392513133314.0,506321275622.0,497690490521.0,495993734218.0,521366895490.0,633800978060.0,503364676969.0,399166971514.0,408454801568.0,479085633561.0,398201815774.0,388884233076.0,537835378933.0,442162173420.0,400843682533.0,277549143521.0,255380849421.0,371626009541.0,372390523912.0,255380849421.0,311311485496.0,1362561444451.0,1356801402600.0,1110748830937.0,1002438259012.0,1794752374433.0,1021074552612.0,861940509364.0,788133951020.0,411484081086.0,432636658440.0
29,VIII.특별계정부채(주석44),8591681824507.0,8326020688387.0,8495442013812.0,8248170267117.0,7826288536098.0,7938874744342.0,7769456112507.0,7674604759013.0,7669829363616.0,7532185263531.0,5087053239408.0,5017349310688.0,4659993590629.0,4605037715835.0,4391697949863.0,4444176594747.0,4342004838871.0,4242976437155.0,3947080147765.0,3940131115671.0,3960545660324.0,4048843198011.0,2285573922382.0,2031837802046.0,1713868996738.0,1752382409142.0,1706977594395.0,1713868996738.0,1466492457292.0,1123364085353.0,1064384999954.0,1004141112248.0,890284656743.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,2517149324134.0
30,부채총계,71852650825480.0,70850736655669.0,70751704920287.0,69582391937223.0,68401198042912.0,67025123897882.0,66345212302379.0,65316095970811.0,64997228814191.0,64006909646983.0,60602245609176.0,59593242080931.0,58077517769051.0,57209272160406.0,55994195285665.0,55256972275358.0,53983842661608.0,53148344988744.0,52072251831080.0,50860122789147.0,49613273321473.0,48644752937375.0,41553469513413.0,37179562325915.0,31398048996220.0,30180873555615.0,32920819127694.0,31398048996220.0,28372248100289.0,21758064020044.0,19268955311473.0,17350442462334.0,15303651001717.0,13408145133192.0,10016134648794.0,9021247666861.0,7767040951220.0,5648689955609.0,47710597940999.0
31,자본,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
32,I.지배기업지분,13657658173044.0,14299853389856.0,14480089628501.0,13770113294289.0,12866263982511.0,12346491668015.0,12154012198742.0,11615248938766.0,11464171741803.0,11991225069252.0,12411932118504.0,12194869086324.0,11386613737673.0,10990764106328.0,12039494469923.0,11425577365048.0,,10070135258139.0,,,,,,,,,,,,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
33,1.자본금(주석29),26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,26473418500.0,25000000000.0,52946837000.0
34,2.연결자본잉여금(주석30),939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,939233350327.0,736200419633.0,736076566800.0,731765914431.0,,735927054747.0,731765914431.0,,736626130540.0,734866768876.0,733748895181.0,733340311712.0,731491142048.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,1458251466309.0
35,3.연결자본조정(주석31),-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1351769727914.0,-971121857264.0,-971121857264.0,-971110153035.0,-971110153035.0,-775351338056.0,-407303944265.0,-80667789418.0,,-86157420442.0,-80667789418.0,,-92496152058.0,-92708254154.0,-93038985802.0,-92881638732.0,838666980330.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,-185302950296.0
36,4.연결기타포괄손익누계액(주석32),5234801026685.0,5693662935718.0,5895588547377.0,5355208305293.0,4656452255800.0,3895795073880.0,3842890078596.0,3544020771945.0,3767714312538.0,4169234296945.0,4633569951226.0,4635845996523.0,4117461802236.0,3961823814298.0,5105158806381.0,4733573837140.0,4079458113758.0,3541857546320.0,3508684453444.0,3265128017519.0,4000995797693.0,3225867324370.0,2293211468676.0,3382838293187.0,2434342837660.0,,2359982709544.0,2434342837660.0,,1627536594685.0,937167676411.0,950595972112.0,880740936922.0,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,3593152232944.0
37,"5.연결이익잉여금(주석33)(대손준비금적립예정액:10,819,087,886원기적립액:196,726,454,994원)(비상위험준비금적립예정액:154,421,851,634원기적립액:2,078,185,661,357원)",8944370302396.0,9127703610175.0,9106014237161.0,8936418145033.0,8731324882748.0,8972209750172.0,8832635276183.0,8592741322858.0,8217970585302.0,8343503928344.0,8299875323315.0,8080536245838.0,7790665091474.0,7550453448067.0,7455848819579.0,7213516683945.0,6974329570897.0,6914340670906.0,6841200776251.0,6655849904788.0,6410894807786.0,6304886742686.0,5586986657547.0,5207715018506.0,4611015146740.0,,,,,2642188034132.0,2257171223640.0,1797791854130.0,1656099180781.0,1386875696892.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,
38,II.비지배지분,22451637813.0,21582048047.0,21971056072.0,20582539567.0,20438374692.0,19038803052.0,18232023498.0,17922981771.0,17556562321.0,17053745496.0,17750253310.0,16943300057.0,16717224952.0,17468260264.0,15372473939.0,15691448922.0,15726933493.0,15115455548.0,15171801561.0,13957979558.0,14225993995.0,13453494179.0,20994053192.0,23233857352.0,19772880460.0,19300559964.0,21078057397.0,19772880460.0,18070403037.0,,,,,,19700000000.0,32800000000.0,33200000000.0,19305000000.0,29004812666.0
39,자본총계,13680109810857.0,14321435437903.0,14502060684573.0,13790695833856.0,12886702357203.0,12365530471067.0,12172244222240.0,11633171920537.0,11481728304124.0,12008278814748.0,12429682371814.0,12211812386381.0,11403330962625.0,11008232366592.0,12054866943862.0,11441268813970.0,10548001462111.0,10085250713687.0,10359641942819.0,9929520813428.0,10420713215266.0,9538804177027.0,7888514679492.0,8969033210080.0,7742702408373.0,7206032371313.0,7747556046291.0,7742702408373.0,6824808185668.0,4953984188937.0,3874438899833.0,3420462782282.0,3208532419525.0,2984707493507.0,2775284474626.0,2085301856535.0,2117349277705.0,1656334555124.0,12399151398705.0
40,부채와자본총계,85532760636337.0,85172172093572.0,85253765604860.0,83373087771079.0,81287900400115.0,79390654368949.0,78517456524619.0,76949267891348.0,76478957118315.0,76015188461731.0,73031927980990.0,71805054467312.0,69480848731676.0,68217504526998.0,68049062229527.0,66698241089328.0,64531844123719.0,63233595702431.0,62431893773899.0,60789643602575.0,60033986536739.0,58183557114402.0,49441984192905.0,46148595535995.0,39140751404593.0,37386905926928.0,40668375173985.0,39140751404593.0,35197056285957.0,,,,,16392852626699.0,19700000000.0,32800000000.0,33200000000.0,19305000000.0,60109749339704.0
