,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
40,기타지급채무(비유동)의증가(감소),47333850452.0,1847939766.0,6128767552.0,5491320570.0,26119994174.0,-2487611155.0,-1123076210.0,-22914749958.0,-15256359731.0,103446122.0,5001241061.0,-136506484.0,8016717757.0,21731711419.0,-4635703784.0,-12134266713.0,-1855203858.0,-4897893725.0,1683479394.0,1607351341.0,12263691879.0,5839583500.0,-15265621690.0,-14598665373.0,30630717576.0,7463948008.0,2910610648.0,6995916777.0,-17913048474.0,-9518464153.0,-38332741171.0,10410399202.0,,9559683620.0,-9969072520.0,,,,,,,,
41,기타비유동부채의증가(감소),-721009579.0,-460984875.0,2690184923.0,3142643867.0,2374931604.0,11033429906.0,4148379180.0,-492982603.0,-235694291.0,-632246853.0,-795341473.0,2115297630.0,1167501381.0,,,-2744830304.0,-2697299573.0,3292906707.0,1472628615.0,527750742.0,315223917.0,2499486024.0,2807249044.0,-175444314.0,549195499.0,-3948791024.0,-729999173.0,,-233512729.0,1690333625.0,,2509951257.0,273021629.0,2193242893.0,-498329997.0,,,,,,,,
42,2.이자의수취,,37261442977.0,,,,27607647817.0,,,,19978170141.0,,,,18799085986.0,,,,14738101977.0,,,,16970749053.0,,,,17327442186.0,9734461343.0,8545286957.0,5189600907.0,24804630039.0,15623620746.0,13651923406.0,9412998504.0,22650373389.0,20462051445.0,,,,,,,,
43,3.이자의지급,,-7164812755.0,,,,-4631837879.0,,,,-4136370974.0,,,,-2993463403.0,,,,-30933495.0,,,,-1359298509.0,,,,-713249882.0,-1124137328.0,-1910270308.0,-4688696585.0,-5231181354.0,-1181882261.0,-398004217.0,-1246173235.0,-744256591.0,-53618420.0,,,,,,,,
44,4.배당금수취,-2199445741.0,3770848676.0,2903169732.0,2130661864.0,-1099576533.0,12111980194.0,9954749156.0,9185642672.0,1226109503.0,2087178127.0,1203867794.0,796205569.0,369065748.0,330844348.0,286273326.0,261920000.0,,1332163579.0,1216878086.0,1163522696.0,1212861534.0,1975176844.0,1652352831.0,1652352831.0,20000000.0,3098783927.0,3098783927.0,3098783927.0,3098783927.0,66000000.0,66000000.0,66000000.0,66000000.0,50000000.0,60000000.0,,,,,,,,
45,5.법인세의납부,,-130389668037.0,,,,-280817491695.0,,,,-62837333872.0,,,,-135837102823.0,,,,-70898713917.0,,,,-69150638541.0,,,,-25670308156.0,-23968322867.0,-14286507396.0,928243459.0,-39640594388.0,-22976707029.0,-13831639162.0,-3864432514.0,-60542449525.0,-67307915197.0,,,,,,,,
46,II.투자활동으로인한현금흐름,,-234237265934.0,,,,68346555573.0,,,,-459622828394.0,,,,-138664241049.0,,,,-516851616964.0,,,,-175532314642.0,,,,-213641450733.0,-153451822416.0,-104140531688.0,-42261197994.0,-146451178857.0,-67860918019.0,-32436957381.0,-39747709635.0,-127420319546.0,-252516189495.0,-282695661651.0,-2780748384.0,-54898508651.0,-54826234350.0,-99887590538.0,-141203665971.0,-37668759652.0,-76065100512.0
47,1.투자활동으로인한현금유입액,1308170200287.0,2901239619867.0,1905879746806.0,1149823277754.0,495455597381.0,2904025657314.0,2289388657675.0,1829606106341.0,885906401590.0,1866600420467.0,1534921641194.0,847873108011.0,250780750691.0,1301638220917.0,976132704282.0,577718352213.0,332014655786.0,758138727190.0,767353472917.0,731974017446.0,428317974047.0,139363571684.0,297997498529.0,227589734922.0,104228052070.0,521695438733.0,252425752434.0,244796865006.0,151445723698.0,531935632438.0,312900552375.0,332269192856.0,182755495492.0,569949217882.0,1248767762897.0,280125337077.0,72536881694.0,17564512487.0,5342736023.0,1989947599.0,2206242312.0,5067735131.0,6126539413.0
48,단기금융상품의감소,,365633500000.0,285633500000.0,209133500000.0,,65504662667.0,48274742652.0,33065529158.0,32015946753.0,314414918057.0,226843922448.0,50529702050.0,10000000000.0,344857480308.0,242663935508.0,133200738735.0,117701241595.0,500400591848.0,558565549000.0,534019563494.0,295734121215.0,77411278780.0,226596545000.0,164299625000.0,92900175000.0,378901100000.0,178601100000.0,182300000000.0,128000000000.0,423900000000.0,272815992354.0,286809816427.0,178300776008.0,515307519697.0,1200000000000.0,270319879893.0,60366547203.0,,,,,,
49,단기대여금의감소,,441437554.0,272415158.0,432465712.0,,1123987668.0,210353350.0,205229690.0,190895131.0,537453605.0,252063697.0,200000000.0,4964106.0,207608498.0,1585708568.0,1552021536.0,14124141639.0,486376895.0,253209160.0,212839889.0,10147074300.0,923444232.0,637805493.0,481010553.0,251395908.0,1669451085.0,1298645859.0,996359211.0,668348539.0,40570815286.0,7263768439.0,14988172329.0,806551732.0,2618948576.0,4625768098.0,4519063399.0,1941168148.0,1584335266.0,907946241.0,595956518.0,1392419939.0,2054310704.0,322000000.0
50,당기손익-공정가치측정금융자산의처분,506572043999.0,2370592575860.0,1505916466334.0,857259910762.0,369422532921.0,2668130270137.0,2103868047404.0,1699758488102.0,852318586771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,기타포괄손익-공정가치측정금융자산의처분,,947195264.0,947195264.0,,,320000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,기타상각후원가측정금융자산의처분,130000000000.0,150000000000.0,100000000000.0,70000000000.0,30000000000.0,160000390000.0,130000000000.0,90000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,관계기업투자주식의처분,,800003900.0,800003900.0,800003900.0,,6225736416.0,6225736416.0,6225736416.0,1225747416.0,1000060952.0,1000060952.0,1000060952.0,1000060952.0,20300010560.0,20300010560.0,,,349967520.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,유형자산의처분,400644028.0,837566273.0,419459978.0,367606878.0,222986965.0,1022786239.0,267529063.0,219815884.0,98728568.0,614001825.0,310888752.0,567269515.0,426707258.0,1865211338.0,2561129680.0,744379082.0,271968272.0,1485288678.0,3555095870.0,3530363076.0,120180063.0,715796020.0,278229198.0,188329714.0,160296755.0,374748176.0,242258803.0,165810833.0,80400371.0,483082159.0,681415992.0,1005060371.0,103601444.0,151308164.0,40568710.0,836198462.0,279729497.0,69814755.0,1009407355.0,328888271.0,47400000.0,30062652.0,894334513.0
55,무형자산의처분,57000000.0,525745454.0,525745454.0,525745454.0,47272727.0,588088884.0,150000.0,,,,,,,971974325.0,971974325.0,122727275.0,122727275.0,1971029061.0,736310131.0,736310131.0,,179243199.0,47425019.0,,,14434199.0,14434199.0,13890484.0,37458830.0,810000000.0,360000000.0,360000000.0,,8931620.0,,,,13095.0,,,,,
56,보증금의감소,350666820.0,11461595562.0,11364960718.0,11304045048.0,10169738548.0,1109735303.0,542098790.0,131307091.0,56496951.0,2528459520.0,978464777.0,1818180347.0,463896738.0,918156714.0,840631254.0,750224022.0,282126552.0,3093689609.0,2042978452.0,2418917606.0,1823878286.0,2692632361.0,3003376954.0,1245566000.0,428522388.0,5256367873.0,2161264200.0,1683626735.0,679921686.0,10140911443.0,9151623628.0,7761275187.0,2992391108.0,706704953.0,517623871.0,2159633595.0,8163236008.0,1675208363.0,1945635540.0,244838021.0,625334.0,1113073590.0,501445636.0
57,2.투자활동으로인한현금유출액,-1588325467024.0,-3135476885801.0,-2178396186258.0,-1323062499389.0,-601263491942.0,-2835679101741.0,-2227899129239.0,-1861392344558.0,-990778324566.0,-2326223248861.0,-1767113114564.0,-791075585154.0,-283608334428.0,-1440302461966.0,-1059328719093.0,-622938636901.0,-308830943220.0,-1274990344154.0,-1016261513826.0,-1014799690336.0,-467098465928.0,-314895886326.0,-414771612277.0,-298067643944.0,-126096491454.0,-735336889466.0,-405877574850.0,-348937396694.0,-193706921692.0,-678386811295.0,-380761470394.0,-364706150237.0,-222503205127.0,-697369537428.0,-1501283952392.0,-562820998728.0,-75317630078.0,-72463021138.0,-60168970373.0,-101877538137.0,-143409908283.0,-42736494783.0,-82191639925.0
58,단기금융상품의증가,670789000000.0,809651000000.0,349791000000.0,193791000000.0,85590500000.0,230497500000.0,221372500000.0,218172500000.0,84603210507.0,245351311360.0,206326051659.0,5814097300.0,19851702603.0,178828826839.0,90083533010.0,78344222439.0,80000000000.0,307254733760.0,295232303143.0,322996766968.0,205182812221.0,196505584298.0,271839375269.0,188712694888.0,90152920995.0,445280945030.0,227566513606.0,222386395821.0,158348137839.0,302937058269.0,149875426734.0,143434637829.0,93471715967.0,406128204950.0,1367590766798.0,,,,19243722435.0,9293020285.0,100500000000.0,19600000000.0,4791600000.0
59,단기대여금의증가,845440.0,,,,2566220.0,4200000000.0,4209256478.0,4507762625.0,,3523244914.0,3343661714.0,469400874.0,335000000.0,209248836.0,1598035014.0,1522265661.0,14209135922.0,438123484.0,104668000.0,7963923.0,14086739.0,13484481.0,13336861.0,13441335.0,13686642.0,866958957.0,298996225.0,373428560.0,303097550.0,33776411102.0,1026672728.0,8673572305.0,174766867.0,5611077527.0,7451299833.0,21193210000.0,4158166520.0,177900000.0,,,,19070240.0,269067362.0
60,당기손익-공정가치측정금융자산의취득,706936546625.0,2093943771783.0,1674628873293.0,1016208820256.0,450822381102.0,2414440783706.0,1862593812205.0,1529492462142.0,898663990449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,기타포괄손익-공정가치측정금융자산의취득,,,,,,1072194800.0,1072194800.0,1122222268.0,24877798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,기타상각후원가측정금융자산의취득,60014720000.0,161041130000.0,101038415000.0,70015290000.0,30000000000.0,120067280000.0,90067280000.0,70032340000.0,12185000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,관계기업투자주식의취득,,9999990000.0,9999990000.0,9999990000.0,,29622193958.0,24637193958.0,24637193958.0,2597018418.0,3001875000.0,3001875000.0,3001875000.0,,53199920308.0,46802465388.0,,,8579934793.0,,,,9793350379.0,,,,,6663989547.0,,,,,,,,,,,,,,,,
64,투자부동산의취득,,,,,,9000000.0,9000000.0,9000000.0,9000000.0,1057000000.0,1057000000.0,1057000000.0,,,,,,,,,,10750000.0,,,,800000000.0,800000000.0,,,,,,,,,,,,,,,,
65,유형자산의취득,9948392645.0,51028274092.0,36133537469.0,29378346936.0,11576774325.0,26731325035.0,19126884746.0,10560554442.0,4456952727.0,28798319400.0,23931233410.0,15383136335.0,5840142892.0,16632221106.0,13321108117.0,9194061283.0,5795898148.0,17672698626.0,11042476449.0,8097079661.0,3842022502.0,19482761231.0,16714894463.0,13499681795.0,10643489577.0,101598477058.0,97323456108.0,59401463760.0,19015230169.0,89812695413.0,68229761201.0,55460595215.0,22370453010.0,190946907992.0,39971899100.0,24583179295.0,52198328118.0,51536093293.0,19330253914.0,76383973150.0,23163537022.0,9635015092.0,8560991499.0
66,무형자산의취득,49979032.0,3292013125.0,1756796944.0,860094189.0,196673547.0,4660640576.0,1306229558.0,405854455.0,320731312.0,3745455432.0,3408049897.0,2648917055.0,841477511.0,2894514142.0,2646013437.0,572100099.0,780084363.0,1158700091.0,1224509815.0,159113792.0,422797975.0,1750903763.0,826898849.0,122685676.0,24675167.0,1028162147.0,742724142.0,281863820.0,194768576.0,4496912319.0,5478656291.0,13773766405.0,15748830309.0,6454719099.0,16618857670.0,,,,,,,,
67,보증금의증가,550328722.0,2020706801.0,547573552.0,308958008.0,2401847.0,4378183666.0,3035417805.0,2452454668.0,90358355.0,3108735958.0,2105820601.0,2289778647.0,1940265555.0,3563534856.0,1726674372.0,447937431.0,337579241.0,2069503956.0,1199190358.0,1594799931.0,966848510.0,1804052174.0,2079380538.0,314140420.0,76719243.0,1190284718.0,507673049.0,301689217.0,387576469.0,2833637052.0,3265809802.0,822552921.0,780330000.0,16220773677.0,6356485238.0,7795168475.0,3828986326.0,1233687399.0,5210987942.0,3124213439.0,4523171401.0,2240550093.0,1775456640.0
68,장기대여금의증가,,4500000000.0,4500000000.0,2500000000.0,,,469359689.0,,,,,,,,,,,,,,,,,,,384555505.0,202222173.0,125555516.0,56111089.0,31120227357.0,175263856.0,130493725.0,4637301241.0,12331274183.0,12066958028.0,4551751198.0,4110878324.0,3780595128.0,4139979280.0,2991200000.0,2068401520.0,1492500000.0,585000000.0
69,III.재무활동으로인한현금흐름,,-45695505083.0,,,,-424352685830.0,,,,-79738476980.0,,,,-73824158788.0,,,,310187228284.0,,,,-12294124210.0,,,,-17410485643.0,-15040144805.0,-11072934643.0,449123505.0,5512609340.0,-297710985.0,13467571233.0,21676831814.0,-11650199769.0,-5168002450.0,37839198380.0,-74111062713.0,-26381372371.0,-13354777780.0,2371834834.0,31977873890.0,-10475606403.0,7864015280.0
70,1.재무활동으로인한현금유입액,,265165810000.0,265113290000.0,258909643136.0,249162050000.0,4980400000.0,4974750000.0,,,1400000000.0,1400000000.0,1400000000.0,,155469065285.0,149503060000.0,149503060000.0,149503060000.0,391117350000.0,391117350000.0,391711678308.0,10852442580.0,3095337990.0,2329211200.0,635360200.0,635360200.0,1390485957.0,1390485957.0,884036957.0,449123505.0,31341613137.0,11755059841.0,25767219523.0,22854334297.0,74197399325.0,5029259380.0,46497497490.0,20600790000.0,2996198074.0,1181241885.0,9324167630.0,34088848660.0,225790000.0,7864015280.0
71,단기차입금의차입,,13903760000.0,,,,4980400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000000.0,,,,,,
72,주식선택권의행사,,2100000000.0,2100000000.0,374903136.0,,,,,,1400000000.0,1400000000.0,1400000000.0,,,,,,,,,,635360200.0,635360200.0,635360200.0,635360200.0,871803090.0,871803090.0,807370800.0,448099800.0,2491834330.0,2390465240.0,2201232840.0,,2377373600.0,,,,,,,,,
73,사채의발행,,249162050000.0,249162050000.0,249162050000.0,249162050000.0,,,,,,,,,149503060000.0,149503060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2.재무활동으로인한현금유출액,-6053186436.0,-310861315083.0,-303802895337.0,-285513432968.0,-154531565949.0,-429333085830.0,-265416622310.0,-154703195920.0,,-81138476980.0,-81138476980.0,-81561886834.0,-428056221.0,-229293224073.0,-230418724073.0,-229293224074.0,-169228863141.0,-80930121716.0,-69017219878.0,-69011715816.0,-10356659388.0,-15389462200.0,-15351989700.0,-15263297200.0,-3473600000.0,-18800971600.0,-16430630762.0,-11956971600.0,,-25829003797.0,-12052770826.0,-12299648290.0,-1177502483.0,-85847599094.0,-10197261830.0,-8658299110.0,-94711852713.0,-29377570445.0,-14536019665.0,-6952332796.0,-2110974770.0,-10701396403.0,
75,자기주식의취득,,,,,,274629889910.0,110713426390.0,,,,,,,,143578363140.0,143578363140.0,143578363140.0,11911036250.0,,,,,,,,,,,,,,,,,,,55652240713.0,26356304070.0,12858719090.0,,,9996401120.0,
76,사채의상환,,150000000000.0,150000000000.0,150000000000.0,150000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548961722.0,,,,,,,,,
77,단기차입금의상환,897411060.0,7877014800.0,5909152080.0,,,,,,,,,423409854.0,428056221.0,,,,,,,,10000000000.0,3422965000.0,3385492500.0,3296800000.0,3473600000.0,6844000000.0,4473659162.0,,,,162176626.0,409054090.0,1177502483.0,65200000000.0,,,20000000000.0,848700000.0,,,,500000000.0,
78,리스료의지급,,19602074835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,배당금의지급,,124584255950.0,124584255950.0,124584255950.0,,154703195920.0,154703195920.0,154703195920.0,,81138476980.0,81138476980.0,81138476980.0,,60064360933.0,60064360933.0,60064360933.0,16162626900.0,68642752726.0,68640887138.0,68635383076.0,356659388.0,11966497200.0,11966497200.0,11966497200.0,,11956971600.0,11956971600.0,11956971600.0,,11890594200.0,11890594200.0,11890594200.0,,11861028000.0,,8658299110.0,19059612000.0,,,,,,
80,주식선택권의행사,,8797969498.0,2100000000.0,374903136.0,,,,,,1400000000.0,1400000000.0,1400000000.0,,,,,,,,,,635360200.0,635360200.0,635360200.0,635360200.0,871803090.0,871803090.0,807370800.0,448099800.0,2491834330.0,2390465240.0,2201232840.0,,2377373600.0,,,,,,,,,
81,IV.현금및현금성자산의증가(감소)(Ⅰ+Ⅱ+Ⅲ),-27915203024.0,112316464712.0,10030581012.0,-22573712136.0,62025054627.0,-3205661083.0,67223905723.0,-1845328856.0,93748798874.0,55811905023.0,100759039934.0,19562918763.0,39244589745.0,-100465891006.0,-56329083864.0,,,34672845207.0,,,,75754478202.0,,,,5135727177.0,21348125600.0,,13748872713.0,69703317184.0,,,,,,,,,,,,,
82,V.기초의현금및현금성자산,,185592882727.0,,,,187255812447.0,,,,144829329639.0,,,,248092386501.0,,,,202756536966.0,,,,123330761249.0,,,,123040836583.0,123040836583.0,123040836583.0,123040836583.0,59153505935.0,59153505935.0,59153505935.0,59153505935.0,59453163281.0,95140096775.0,,,,,,,,
83,VI.현금및현금성자산의환율변동효과,10463076533.0,5533929349.0,10709306672.0,6069854577.0,2208832704.0,1542731363.0,1560963393.0,4514878738.0,1354117899.0,-13385422215.0,-2842657151.0,-4307313358.0,-8875295449.0,-2797165856.0,-9689207107.0,-1423651837.0,-2405273809.0,10663004328.0,10983515327.0,4400112172.0,-254710913.0,3671297515.0,436766800.0,-3225375389.0,1592563730.0,-4845802511.0,-3004042425.0,3595170712.0,407471389.0,-5815986536.0,-310086309.0,-104172449.0,-812451667.0,216308845.0,1494706912.0,,,,,,,,
84,VII.기말의현금및현금성자산,,303443276788.0,,,,185592882727.0,,,,187255812447.0,,,,144829329639.0,,,,248092386501.0,,,,202756536966.0,,,,123330761249.0,,161006485421.0,,123040836583.0,105080420346.0,97511650414.0,52447478479.0,59153505935.0,59453163281.0,,,,,,,,
